撫子,nadeshiko,#DC9FB4
紅梅,kohbai,#E16B8C
蘇芳,suoh,#8E354A
退紅,taikoh,#F8C3CD
一斥染,ikkonzome,#F4A7B9
桑染,kuwazome,#64363C
桃,momo,#F596AA
苺,ichigo,#B5495B
薄紅,usubeni,#E87A90
今様,imayoh,#D05A6E
中紅,nakabeni,#DB4D6D
桜,sakura,#FEDFE1
梅鼠,umenezumi,#9E7A7A
韓紅花,karakurenai,#D0104C
燕脂,enji,#9F353A
紅,kurenai,#CB1B45
鴇,toki,#EEA9A9
長春,cyohsyun,#BF6766
深緋,kokiake,#86473F
桜鼠,sakuranezumi,#B19693
甚三紅,jinzamomi,#EB7A77
小豆,azuki,#954A45
蘇芳香,suohkoh,#A96360
赤紅,akabeni,#CB4042
真朱,shinsyu,#AB3B3A
灰桜,haizakura,#D7C4BB
栗梅,kuriume,#904840
海老茶,ebicha,#734338
銀朱,ginsyu,#C73E3A
黒鳶,kurotobi,#554236
紅鳶,benitobi,#994639
曙,akebono,#F19483
紅樺,benikaba,#B54434
水がき,mizugaki,#B9887D
珊瑚朱,sangosyu,#F17C67
紅檜皮,benihiwada,#884C3A
猩猩緋,syojyohi,#E83015
鉛丹,entan,#D75455
芝翫茶,shikancha,#B55D4C
檜皮,hiwada,#854836
柿渋,kakishibu,#A35E47
緋,ake,#CC543A
鳶,tobi,#724832
紅緋,benihi,#F75C2F
栗皮茶,kurikawacha,#6A4028
弁柄,bengara,#9A5034
照柿,terigaki,#C46243
江戸茶,edocha,#AF5F3C
洗朱,araisyu,#FB966E
百塩茶,momoshiocha,#724938
唐茶,karacha,#B47157
ときがら茶,tokigaracha,#DB8E71
黄丹,ohni,#F05E1C
纁,sohi,#ED784A
遠州茶,ensyucha,#CA7853
樺茶,kabacha,#B35C37
焦茶,kogecha,#563F2E
赤香,akakoh,#E3916E
雀茶,suzumecha,#8F5A3C
宍,shishi,#F0A986
宗伝唐茶,sodenkaracha,#A0674B
樺,kaba,#C1693C
深支子,kokikuchinashi,#FB9966
胡桃,kurumi,#947A6D
代赭,taisya,#A36336
洗柿,araigaki,#E79460
黄櫨染,kohrozen,#7D532C
赤朽葉,akakuchiba,#C78550
礪茶,tonocha,#985F2A
赤白橡,akashirotsurubami,#E1A679
煎茶,sencha,#855B32
萱草,kanzo,#FC9F4D
洒落柿,sharegaki,#FFBA84
紅鬱金,beniukon,#E98B2A
梅染,umezome,#E9A368
枇杷茶,biwacha,#B17844
丁子茶,chojicha,#96632E
憲法染,kenpohzome,#43341B
琥珀,kohaku,#CA7A2C
薄柿,usugaki,#ECB88A
伽羅,kyara,#78552B
丁子染,chojizome,#B07736
柴染,fushizome,#967249
朽葉,kuchiba,#E2943B
金茶,kincha,#C7802D
狐,kitsune,#9B6E23
煤竹,susutake,#6E552F
薄香,usukoh,#EBB471
砥粉,tonoko,#D7B98E
銀煤竹,ginsusutake,#82663A
黄土,ohdo,#B68E55
白茶,shiracha,#BC9F77
媚茶,kobicha,#876633
黄唐茶,kigaracha,#C18A26
山吹,yamabuki,#FFB11B
山吹茶,yamabukicha,#D19826
櫨染,hajizome,#DDA52D
桑茶,kuwacha,#C99833
玉子,tamago,#F9BF45
白橡,shirotsurubami,#DCB879
黄橡,kitsurubami,#BA9132
玉蜀黍,tamamorokoshi,#E8B647
花葉,hanaba,#F7C242
生壁,namakabe,#7D6C46
鳥の子,torinoko,#DAC9A6
浅黄,usuki,#FAD689
黄朽葉,kikuchiba,#D9AB42
梔子,kuchinashi,#F6C555
籐黄,tohoh,#FFC408
鬱金,ukon,#EFBB24
芥子,karashi,#CAAD5F
肥後煤竹,higosusutake,#8D742A
利休白茶,rikyushiracha,#B4A582
灰汁,aku,#877F6C
利休茶,rikyucha,#897D55
路考茶,rokohcha,#74673E
菜種油,nataneyu,#A28C37
鶯茶,uguisucha,#6C6024
黄海松茶,kimirucha,#867835
海松茶,mirucha,#62592C
刈安,kariyasu,#E9CD4C
