麻田藩,#DC9FB4
和歌山藩,#E16B8C
大多喜藩,#8E354A
忍藩,#F8C3CD
岩槻藩,#F4A7B9
川越藩,#64363C
小諸藩,#F596AA
桑名藩,#B5495B
鳥羽藩,#E87A90
盛岡藩,#D05A6E
山形藩,#DB4D6D
沼田藩,#FEDFE1
吉井藩,#9E7A7A
古河藩,#D0104C
佐倉藩,#9F353A
柳川藩,#CB1B45
福江藩,#EEA9A9
熊本藩,#BF6766
小倉藩,#86473F
中津藩,#B19693
岡藩,#EB7A77
柏原藩,#954A45
府内藩,#A96360
宇都宮藩,#CB4042
小浜藩,#AB3B3A
亀山藩,#D7C4BB
小田原藩,#904840
伊保藩,#734338
刈谷藩,#C73E3A
会津藩,#554236
高崎藩,#994639
関宿藩,#F19483
金沢藩,#B54434
姫路藩,#B9887D
若桜藩,#F17C67
庭瀬藩,#884C3A
広島藩,#E83015
臼杵藩,#D75455
三田藩,#B55D4C
福知山藩,#854836
久留里藩,#A35E47
高島藩,#CC543A
浜松藩,#724832
吉田藩,#F75C2F
岡崎藩,#6A4028
膳所藩,#9A5034
仙台藩,#C46243
米沢藩,#AF5F3C
前橋藩,#FB966E
伊勢崎藩,#724938
府中藩,#B47157
土浦藩,#DB8E71
牛久藩,#F05E1C
足守藩,#ED784A
長府藩,#CA7853
杵築藩,#B35C37
日出藩,#563F2E
佐伯藩,#E3916E
大田原藩,#8F5A3C
壬生藩,#F0A986
松代藩,#A0674B
田原藩,#C1693C
彦根藩,#FB9966
平藩,#947A6D
大垣藩,#A36336
松岡藩,#E79460
福井藩,#7D532C
岡山藩,#C78550
延岡藩,#985F2A
飯山藩,#E1A679
笠間藩,#855B32
津山藩,#FC9F4D
今治藩,#FFBA84
新発田藩,#E98B2A
挙母藩,#E9A368
棚倉藩,#B17844
麻生藩,#96632E
出石藩,#43341B
名古屋藩,#CA7A2C
津藩,#ECB88A
加納藩,#78552B
水戸藩,#B07736
徳島藩,#967249
宇和島藩,#E2943B
茂木藩,#C7802D
沢海藩,#9B6E23
川中島藩,#6E552F
狭山藩,#EBB471
飯田藩,#D7B98E
大村藩,#82663A
佐野藩,#B68E55
甲府藩,#BC9F77
黒羽藩,#876633
村上藩,#C18A26
松本藩,#FFB11B
西尾藩,#D19826
萩藩,#DDA52D
高槻藩,#C99833
長沼藩,#F9BF45
安中藩,#DCB879
小幡藩,#BA9132
郡山藩,#E8B647
柳本藩,#F7C242
谷田部藩,#7D6C46
赤穂藩,#DAC9A6
岡田藩,#FAD689
尼崎藩,#D9AB42
高田藩,#F6C555
須坂藩,#FFC408
館林藩,#EFBB24
七日市藩,#CAAD5F
高遠藩,#8D742A
明石藩,#B4A582
林田藩,#877F6C
龍野藩,#897D55
成羽藩,#74673E
福岡藩,#A28C37
岸和田藩,#6C6024
長岡藩,#867835
園部藩,#62592C
大溝藩,#E9CD4C
浜田藩,#F7D94C
福山藩,#FBE251
久留米藩,#D9CD90
佐賀藩,#ADA142
田辺藩,#DDD23B
烏山藩,#A5A051
佐貫藩,#BEC23F
峰山藩,#6C6A2D
三池藩,#939650
新庄藩,#838A2D
庄内藩,#B1B479
上山藩,#616138
宮津藩,#4B4E2A
大洲藩,#5B622E
勝山藩,#4D5139
淀藩,#89916B
亀田藩,#90B44B
本荘藩,#91AD70
下館藩,#B5CAA0
新谷藩,#646A58
大野藩,#7BA23F
山家藩,#86C166
三春藩,#4A593D
白河藩,#42602D
生実藩,#516E41
松江藩,#91B493
田中藩,#808F7C
鹿児島藩,#1B813E
掛川藩,#5DAC81
岩村藩,#36563C
鳥取藩,#227D51
綾部藩,#A8D8B9
与板藩,#6A8372
泉藩,#2D6D4B
神戸藩,#465D4C
小野藩,#24936E
唐津藩,#86A697
八幡藩,#00896C
島原藩,#096148
村松藩,#20604F
富山藩,#0F4C3A
大聖寺藩,#4F726C
皆川藩,#00AA90
高岡藩,#69B0AC
高須藩,#26453D
椎谷藩,#66BAB7
丸亀藩,#268785
岩国藩,#405B55
弘前藩,#305A56
二本松藩,#78C2C4
土佐藩,#376B6D
横須賀藩,#A5DEE4
新宮藩,#77969A
宇土藩,#6699A1
松山藩,#81C7D4
鹿沼藩,#33A6B8
飯野藩,#0C4842
北条藩,#0D5661
岡部藩,#0089A7
一関藩,#336774
沼津藩,#255359
小見川藩,#1E88A8
中村藩,#566C73
八戸藩,#577C8A
久居藩,#58B2DC
湯長谷藩,#2B5F75
秋田藩,#3A8FB7
岡山新田藩,#2E5C6E
守山藩,#006284
福島藩,#7DB9DE
糸魚川藩,#51A8DD
水口藩,#2EA9DF
鞠山藩,#0B1013
宮川藩,#0F2540
山上藩,#08192D
小倉新田藩,#005CAF
小島藩,#0B346E
上田藩,#7B90D2
谷村藩,#6E75A4
多度津藩,#261E47
三日月藩,#113285
新見藩,#4E4F97
三上藩,#211E55
篠山藩,#8B81C3
館山藩,#70649A
多古藩,#9B90C2
桑折藩,#8A6BBE
喜連川藩,#6A4C9C
久喜藩,#8F77B5
結城藩,#533D5B
岩村田藩,#B28FCE
足利藩,#986DB2
長島藩,#77428D
相良藩,#3C2F41
下妻藩,#4A225D
安志藩,#66327C
徳山藩,#592C63
西条藩,#6F3381
黒川藩,#574C57
三日市藩,#B481BB
八田藩,#3F2B36
三草藩,#572A3F
西大平藩,#5E3D50
森藩,#72636E
高畠藩,#622954
蓮池藩,#6D2E5B
人吉藩,#C1328E
下手渡藩,#A8497A
黒石藩,#562E37
下村藩,#E03C8A
天童藩,#60373E
一宮藩,#FCFAF2
秋月藩,#FFFFFB
鶴牧藩,#BDC0BA
奥殿藩,#91989F
鯖江藩,#787878
請西藩,#828282
犬山藩,#787D7B
今尾藩,#707C74
伯太藩,#656765
高知藩,#535953
